Organizati,Organiza_1,Monitoring,Monitori_1,Monitori_2,Monitori_3,HUCEightDi,DrainageAr,Drainage_1,Contributi,Contribu_1,LatitudeMe,LongitudeM,SourceMapS,Horizontal,Horizont_1,Horizont_2,Horizont_3,VerticalMe,Vertical_1,VerticalAc,Vertical_2,VerticalCo,Vertical_3,CountryCod,StateCode,CountyCode,AquiferNam,FormationT,AquiferTyp,Constructi,WellDepthM,WellDept_1,WellHoleDe,WellHole_1,ProviderNa,End_Sp_Res,End_Sp_R_1,End_Sp_R_2,End_Sp_R_3,End_Sp_R_4,End_Sp_R_5,End_Sp_R_6,End_Sp_R_7,End_Sp_R_8,End_Sp_R_9,End_Sp_R10,End_Sp_R11,End_Sp_R12,End_Sp_R13,End_Sp_R14,End_Sp_R15,End_Sp_R16,End_Sp_R17,End_Sp_R18,End_Sp_R19,End_Sp_R20,End_Sp_R21,End_Sp_R22,End_Sp_R23,End_Sp_R24,End_Sp_R25,End_Sp_R26,End_Sp_R27,End_Sp_R28,End_Sp_R29,End_Sp_R30,End_Sp_R31,End_Sp_R32,End_Sp_R33,End_Sp_R34,End_Sp_R35,End_Sp_R36,End_Sp_R37,End_Sp_R38,End_Sp_R39,End_Sp_R40,End_Sp_R41,End_Sp_R42,End_Sp_R43,End_Sp_R44,End_Sp_R45,End_Sp_R46,End_Sp_R47,End_Sp_R48,End_Sp_R49,End_Sp_R50,End_Sp_R51,End_Sp_R52,End_Sp_R53,End_Sp_R54,End_Sp_R55,End_Sp_R56,End_Sp_R57,End_Sp_R58,End_Sp_R59,End_Sp_R60,End_Sp_R61,group_coal,group_co_1,HUC12RNG,STATES,Shape_Leng,Shape_Area
USGS-KY,USGS Kentucky Water Science Center,USGS-03209500,"LEVISA FORK AT PIKEVILLE, KY",Stream,,5070203,1232,sq mi,,,37.4642676,-82.5262632,,5,seconds,Interpolated from MAP.,NAD83,632.88,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,195,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98500019,Sample-Routine,Water,Surface Water,6/21/1985,11:50:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,52,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,8,"5/8/1985, 3/11/1985, 11/21/1985, 8/12/1985, 1/18/1985, 10/8/1985, 4/9/1985, 6/21/1985",50702030202,KY,67655.4931,160252181.5
USGS-KY,USGS Kentucky Water Science Center,USGS-03212500,"LEVISA FORK AT PAINTSVILLE, KY",Stream,,5070203,2144,sq mi,,,37.815372,-82.7915493,,5,seconds,Interpolated from MAP.,NAD83,566.84,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,115,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98500041,Sample-Routine,Water,Surface Water,5/20/1985,14:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,66,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,8,"8/9/1985, 10/7/1985, 11/20/1985, 1/16/1985, 6/20/1985, 3/13/1985, 4/2/1985, 5/20/1985",50702030502,KY,79769.3812,143647823.3
USGS-KY,USGS Kentucky Water Science Center,USGS-03212545,"LEVISA FORK AT LOUISA, KY",Stream,,,2330,sq mi,,,38.115921,-82.6004341,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,127,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98500050,Sample-Routine,Water,Surface Water,6/24/1985,11:45:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,25,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,7,"3/12/1985, 5/13/1985, 10/9/1985, 8/13/1985, 1/22/1985, 4/10/1985, 6/24/1985",50702030505,"KY,WV",66174.68832,110335188.5
USGS-KY,USGS Kentucky Water Science Center,USGS-03215000,"BIG SANDY R AT LOUISA, KY",Stream,,5070201,3897,sq mi,,,38.1711971,-82.6346023,,5,seconds,Interpolated from MAP.,NAD83,512.81,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,127,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.99000088,Sample-Routine,Water,Surface Water,12/12/1989,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,12,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,53,"1/22/1985, 10/16/1985, 11/25/1985, 3/7/1986, 6/3/1986, 8/20/1986, 8/25/1988, 10/22/1988, 1/10/1989, 2/9/1989, 10/14/1987, 2/17/1988, 4/7/1988, 8/31/1987, 11/30/1987, 2/28/1985, 4/4/1985, 3/3/1987, 4/17/1986, 10/15/1986, 1/6/1987, 4/30/1987, 7/7/1987, 5/1",50702040401,"KY,WV",41172.34632,51493698.17
USGS-KY,USGS Kentucky Water Science Center,USGS-03215600,"BIG SANDY RIVER NEAR BURNAUGH, KY",Stream,,,4204,sq mi,,,38.2217513,-82.6068245,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,127,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98500067,Sample-Routine,Water,Surface Water,6/24/1985,13:15:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,59,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,8,"8/15/1985, 10/9/1985, 4/3/1985, 5/14/1985, 11/25/1985, 1/22/1985, 2/28/1985, 6/24/1985",50702040402,"KY,WV",57488.30515,71014155.28
USGS-KY,USGS Kentucky Water Science Center,USGS-03216600,"OHIO RIVER AT GREENUP DAM NEAR GREENUP, KY",Stream,,5090103,62000,sq mi,,,38.6467448,-82.860447,,5,seconds,Interpolated from MAP.,NAD83,472.97,feet,0.01,feet,Interpolated from topographic map.,COE1912,US,21,89,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98600011,Sample-Routine,Water,Surface Water,11/13/1985,12:30:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,Rising stage,Routine sample,USGS,USGS,USGS,Unknown,,Zinc,Dissolved,4,ug/l,,Historical,,Actual,,,,,,,1090,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,,,,,NWIS,187,"2/27/1985, 5/29/1986, 8/19/1986, 5/15/1985, 2/19/1986, 8/14/1985, 11/13/1985, 2/13/2014, 5/2/2014, 3/12/2014, 3/27/2014, 5/13/2014, 10/16/2014, 12/18/2014, 2/27/2014, 4/10/2014, 8/11/2014, 1/16/2014, 6/19/2014, 2/26/2014, 4/22/2015, 1/15/2015, 1/29/2015,",50901030107,"KY,OH",64732.07383,87769424.57
USGS-KY,USGS Kentucky Water Science Center,USGS-03277305,"NORTH FORK KENTUCKY RIVER AT ICE, KY",Stream,,5100201,,,,,37.1089864,-82.8634938,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,133,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800892,Sample-Routine,Water,Surface Water,8/8/1988,13:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,73,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002010104,KY,55356.02242,73029551.34
USGS-KY,USGS Kentucky Water Science Center,USGS-03277360,"ROCKHOUSE CREEK NEAR LETCHER, KY",Stream,,5100201,51.5,sq mi,,,37.1528746,-82.9409948,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,133,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98700824,Sample-Routine,Water,Surface Water,8/24/1987,10:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,173,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/8/1988, 8/24/1987",51002010107,KY,46625.0077,56879076.57
USGS-KY,USGS Kentucky Water Science Center,USGS-03277410,"LEATHERWOOD CREEK AT CORNETTSVILLE, KY",Stream,,5100201,49.7,sq mi,,,37.1264834,-83.0846114,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,193,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800899,Sample-Routine,Water,Surface Water,8/8/1988,8:35:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Zinc,Dissolved,,,,Historical,,Actual,,,,,,,1090,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)","USGS OF 93-125, p 101",,,,Historical Lower Reporting Limit,3,ug/l,,NWIS,2,"8/24/1987, 8/8/1988",51002010303,KY,61993.62891,128936881.9
USGS-KY,USGS Kentucky Water Science Center,USGS-03277470,"CARR FORK AT SCUDDY, KY",Stream,,5100201,79.7,sq mi,,,37.202596,-83.0868339,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,119,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98700799,Sample-Routine,Water,Surface Water,8/24/1987,7:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,107,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/8/1988, 8/24/1987",51002010204,KY,49702.02937,56396831.73
USGS-KY,USGS Kentucky Water Science Center,USGS-03277550,"NORTH FORK KENTUCKY RIVER AT COMBS, KY",Stream,,5100201,,,,,37.2662063,-83.2173964,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,193,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800897,Sample-Routine,Water,Surface Water,8/8/1988,8:10:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,11,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002010307,KY,48615.54126,85635522.69
USGS-KY,USGS Kentucky Water Science Center,USGS-03277690,"NORTH FORK KENTUCKY RIVER AT CHAVIES, KY",Stream,,5100201,,,,,37.3478703,-83.3532355,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,193,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98700831,Sample-Routine,Water,Surface Water,8/24/1987,10:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,9,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/8/1988, 8/24/1987",51002010403,KY,51749.85563,59765691.82
USGS-KY,USGS Kentucky Water Science Center,USGS-03277835,"TROUBLESOME CREEK AT DWARF, KY",Stream,,5100201,59.9,sq mi,,,37.3417626,-83.118503,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,193,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800895,Sample-Routine,Water,Surface Water,8/8/1988,14:35:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,257,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002010503,KY,45625.82425,63314484.98
USGS-KY,USGS Kentucky Water Science Center,USGS-03279005,"TROUBLESOME CREEK AT HIGHWAY 476 NR CLAYHOLE, KY",Stream,,5100201,,,,,37.4673145,-83.2796209,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,25,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800969,Sample-Routine,Water,Surface Water,8/8/1988,15:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,39,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/24/1987, 8/8/1988",51002010508,KY,76734.71789,107364363.3
USGS-KY,USGS Kentucky Water Science Center,USGS-03279400,"QUICKSAND CREEK AT LUNAH, KY",Stream,,5100201,101,sq mi,,,37.5587041,-83.1843401,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,25,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800894,Sample-Routine,Water,Surface Water,8/9/1988,12:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,28,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/25/1987, 8/9/1988",51002010604,KY,74007.22539,122336019.5
USGS-KY,USGS Kentucky Water Science Center,USGS-03279700,"QUICKSAND CREEK AT QUICKSAND, KY",Stream,,5100201,203,sq mi,,,37.5364796,-83.3485122,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,21,25,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98800893,Sample-Routine,Water,Surface Water,8/9/1988,14:40:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,68,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,2,"8/25/1987, 8/9/1988",51002010606,KY,45432.84686,59717359.68
USGS-KY,USGS Kentucky Water Science Center,USGS-03280000,"NORTH FORK KENTUCKY RIVER AT JACKSON, KY",Stream,,5100201,1101,sq mi,,,37.5523123,-83.3857358,,5,seconds,Interpolated from MAP.,NAD83,697.67,feet,1,feet,Interpolated from topographic map.,NGVD29,US,21,25,,,,,,,,,NWIS,USGS-KY,USGS Kentucky Water Science Center,nwisky.01.98900068,Sample-Routine,Water,Surface Water,12/19/1988,15:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Suspended Sediment Concentration (SSC),Suspended,6,mg/l,,Historical,,Actual,,,,,,,80154,,,,,,,,,,,,,,,,,NWIS,57,"8/25/1989, 1/12/1989, 3/22/1988, 2/22/1989, 3/6/1989, 10/17/1989, 12/22/1989, 6/23/1989, 5/18/1987, 9/14/1987, 1/17/1989, 2/15/1989, 6/20/1988, 4/20/1987, 4/7/1988, 4/18/1988, 7/18/1988, 1/13/1989, 10/13/1987, 9/19/1988, 1/11/1988, 6/15/1989, 6/15/1987,",51002010701,KY,67141.16755,119503102.8
